폰모델 제목,가격,등록시간,내용
중고 아이폰se 1세대 / 골드 / 128 GB,190000,2022-07-08,"아이폰 SE 1세대 중고폰  A 급상태

용량 : 128 GB  

색상 : 골드

배터리 성능 : 100 %

* 실사진입니다. 기능 및 통화테스트 완료한 제품이며
   유심기변으로 바로 사용가능합니다."
아이폰13미니 128기가 s급 판매합니다,770000,2022-07-08,"*정상해지유무:ㅇ
*25%요금할인적용가능 
*색상:핑크
*용량:128기가
*외관:사진참조 
*통신사:3사호환가능 
*구성품: 풀박스 강화유리필름 투명젤리케이스 
*기능이상유무:x
*4시이전구매시 우체국택배로 당일발송됩니다"
아이폰10s 스페이스 그레이 64GB(충전기X),270000,2022-07-08,"아이폰 10s입니다.

후면에 금 간게 있는데 사용에 지장이 있는 건 아닙니다.

충전기는 미포함입니다. 대신 정품 배터리 케이스 포함입니다!

01074032364로 연락주세요.
직거래는 노원에서 가능합니다!"
아이폰8 블랙 64기가,150000,2022-07-08,아이폰8 블랙 64기가 판매해요. 전체적으로 깨끗하나 앞면 위쪽에 금갔지만 물어 보니까 LCD파손 아니고 정상 터치 작동 됩니다 배터리 성능79% 택배 직거래 반값택배
아이폰13미니 128G 블랙,800000,2022-07-08,"아이폰13 미니 128G 미드나이트(블랙)

색상 팝니다~자급제X

통신사 상관없이 유심기변으로 이용가능 합니다~

미개봉 / 새제품이고 필름이랑 케이스도 드려요~

직거래고~구리 인창동입니다"
아이폰 SE 2 128GB 정상해지 A급 저렴,250000,2022-07-08,"아이폰 SE 2 128GB 정상해지 A급 저렴 - 25만원


블랙 / 알뜰폰 포함 모든통신사 호환됩니다
앞면 기스없이 깔끔  / 테두리 깔끔  / 뒷면 깔끔  
화면 무잔상 번인 없습니다
기능 정상  - 배터리 효율 85% -
선택약정 25%요금할인 가능합니다 
정상적으로 해지된 확정기변 전산기변 가능한상태입니다
유심끼우시고 바로 쓰실수 있습니다 
개통일 2020년 5월 29일  

​거래방식은 직거래 택배거래 가능합니다 
직거래는 서울 마포 공덕역 가능합니다
새벽2시까지는 거래가능합니다 
빠른거래 우선입니다 확실한 거래 약속 부탁드립니다!!

연락처 : o1o .3936. 4841"
애플 아이폰 SE2 128GB 레드 무료배송,209000,2022-07-08,"애플 아이폰 SE2 128GB 레드 무료배송

제품No.24139(87) 

- 모두 정상


- 선택약정 가능 !!
- 정상해지 완료 !!



>> 무료배송(단,제주지역은 반만 부담!!!)
(단순변심 및 고지되지 않은 내용으로 반품불가!!!! 및 반품시 왕복반품 배송비 구매자 부담!!!!)


010.3866.8082"
삼성 애플 차량용 충전기,4000,2022-07-08,"차량용 애플 충전기입니다. 

택배시 3000원추가됩니다.
(가까운 GS편의점에서 받는 택배는 1600원 추가됩니다.)
*환불은 불가하니 신중한 구매 부탁드려요."
아이폰 13프로 맥스 256기가 시에라블루 팝니다 !,1350000,2022-07-08,"작년 11월에 개통한 아이폰 13프로 맥스 256GB시에라 블루 입니다 ! 잔기스 하나도 없고 새거 처럼 써서 깨끗합니다 !

✅선택약정 25% 가능합니다 !
✅모든 통신사 가능합니다 !
✅남아 있는 할부 없습니다 !
✅배터리 성능 98% 입니다 !
✅박스까지 다 있습니다 충전기도 드릴게요 😄
✅쿨거시 에눌해드려용 !

❤️문의 주세요❤️"
아이폰x64기가 스페이스그레이,260000,2022-07-08,"아이폰x64기가 스페이스그레이

상태는 두말하면 잔소리 사진 보시면 아시겠지만 너무 새거라 따로 설명하지 않겠습니다!!

(미세한 기스하나 없어요)관리 하나만큼은 최상급
카메라,페이스아이디,전부 정상작동 합니다!!

상태:S급 그냥 새것같은 중고!
배터리 성능:84%입니다.

택배 거래시: 뾱뾱이 뜯기 힘들정도로 두껍게 포장해서 보내드려요.

직거래시:충남 서천군 서천읍에서만 가능합니다!

쿨거래 택배거래시 택배비는 빼드려요.

정말 사실분만 연락주세요."
아이폰12미니 레드64 배터리92 판매해요,390000,2022-07-08,"# 색상 : 레드
# 용량 : 64기가 
# 3사호환, 정상해지, 25%요금할인까지!!

기능엔 전혀 이상이 없구요 
외관은 액정과 뒷판은 기스없이 깨끗하구요 
테두리 흠집이 군데군데 다소있어요

추가구성품
강화유리필름, 젤리케이스

* 고객님들간에 개인거래 하셨을 때(분실,도난,침수,메인보드,잔상,케이블등등) 
  모르고 사셨던 분들도 계실겁니다. 
  저희는 중고폰 전문매장으로써 오늘 하루만 장사를 하는 것이 아니기에
  신뢰를 바탕으로 대량으로 매입을 하기에 저렴한 가격에 판매를 하고 있습니다.
  
택배거래시 평일오후5시이전 주문시
우체국또는 로젠택배로 당일발송 익일 받으실수 있습니다
  
*A/S 본인과실 외 30일 무상으로 수리
  
* 매장 방문시 더 많은제품을 직접 보시고 구매 하실 수 있습니다.

         휴대폰 $ 010-2223-2534 $"
아이패드미니 6세대 셀룰러 64GB,700000,2022-07-08,"쿨거래시 만원빼드려요

배터리 100%
22.01 구매
소유욕때문에 샀다가 
역시나 잘 안써서 팝니다.

기스, 찍힘 없습니다.
필름 없습니다.

선입금 후출고
직거래 대환영"
아이폰 SE 2 64GB 정상해지 A급 저렴,220000,2022-07-08,"아이폰 SE 2 64GB 정상해지 A급  저렴 - 22만원

​
블랙 / 알뜰폰 포함 모든통신사 호환됩니다
구성품은 없는 기기 단품입니다
앞면  기스없이 깔끔 / 테두리 깔끔  / 뒷면 밑쪽 생활기스
화면 무잔상 번인없습니다
기능 정상  - 배터리 효율 89% -
선택약정 25%요금할인 가능합니다 
정상적으로 해지된 확정기변 전산기변 가능한상태입니다
유심끼우시고 바로 쓰실수 있습니다 
개통일 2021년 2월 3일 /  리퍼기간은 개통일로부터2년입니다

​거래방식은 직거래 택배거래 가능합니다 
직거래는 서울 마포 공덕역 가능합니다
새벽2시까지는 거래가능합니다 
빠른거래 우선입니다 확실한 거래 약속 부탁드립니다!!

연락처 : o1o .3936. 4841"
특가 배터리84 아이폰11 64G 퍼플,470000,2022-07-08,"반갑습니당~~~
소독과 검수 작업을 완료하고 잘 안 찍히는 결점 하나 하나까지 세밀하게 검토하여 판매하도록 꾸준히 노력하고 있답니당 
<후기> 한번만 봐주시면 감사드릴께용
톡~~대환영!!!
자는 시간 빼고는 언제 어디서나 답변해드려욧.... 

> 모델명 : 아이폰 11
> 색상 : 퍼플
> 저장공간 : 64 G
> 배터리 효율 : 84 %
> 등급 : 특가
  - 측면
완잔깨끗
  - 뒷면 
끝부분에 미세한 생활기스
  - 액정
전제적으로 생활기스
좌측상단에 아주 미세한 기스

> 기능상 특이사항
없어요 ( 기능 테스트 완료 )

KT SKT LG 선불 알뜰... 모든 유심이 가능합니당
쓰시고 계신 유심을 그대로 꼽아서 바로 사용해주세요
25% 선택약정 적용도 그대로 이어서 사용가능해염 

거래는 오후에 ⑨호선 선유도역 8번출구 (영등포구 양평동) 에서 가능합니당....
택배는 오후4시마감!
직접 우체국으로 방문하여 발송해 드립니당 
택배 선불요청 5,000원 추가 입금하시면 됩니당

> ₩10,000 원 추가 입금시 별도판매 
일반충전기 + 액정필름 + 투명젤리케이스 + 그립톡 + 알콜솜 

1542"
