폰모델 제목,가격,등록시간,내용
갤럭시j5 j510,35000,2022-07-08,"갤럭시j5 j510 16기가 블랙(판매완료), 화이트제품입니다
외관은 사진보다시피 상태 양호합니다 
모든기능정상작동 잔상없습니다 
정상해지 첫개통 블랙 sk, 화이트 엘지유플러스 입니다 삼사호환됩니다 
휴대폰단품입니다 
각각 35000원 입니다

대구 직거래 환영 
중고 특성상 제품하자 외 변심 등으로 인한 교환ㆍ환불 불가입니다 "
[최저가] 삼성 갤럭시 S9+ SM-G965N 256G,165000,2022-07-08,"삼성 갤럭시 S9 플러스 입니다

내장 메모리 256기가 입니다 

KT 향 입니다

3사 유심 호환 가능 합니다

기스, 찍힘 및 스크레치 약간 있고 화면 번인 아주 약간 있습니다 

살균, 소독 완료 된 상품 입니다 

모든 기능 정상 입니다

추가 구성품 없이 단품 입니다

유심 넣으면 바로 사용 가능 합니다 

믿고 구매 하셔도 됩니다!!

중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 

입니다

부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 

택배비는 착불 또는 3000원 추가 입니다

편의점 택배를 이용하기 때문에 택배비는 저렴 합니다 "
[최저가] 삼성 갤럭시 노트8 SM-N950N,125000,2022-07-08,"삼성 갤럭시 노트8 입니다
​
SK 향 입니다 

3사 유심 호환 가능 합니다
​
기스, 찍힘 및 스크레치 있고 화면 번인 약간 있습니다 

살균, 소독 완료 된 상품 입니다 
​
모든 기능 정상 입니다
​
추가 구성품 없이 단품 입니다
​
유심 넣으면 바로 사용 가능 합니다   
​
믿고 구매 하셔도 됩니다!!

중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 

입니다
​
부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 
​
택배비는 착불 또는 3000원 추가 입니다
​
편의점 택배를 이용 해서 택배비는 저렴 합니다
"
[최저가] 삼성 갤럭시 노트9 SM-N960N 512G,180000,2022-07-08,"삼성 갤럭시 노트9 입니다

내장 메모리 512기가 입니다 

KT 향 입니다

3사 유심 호환 가능 합니다

기스, 찍힘 및 스크레치 약간 있고 화면 번인 있습니다 

살균, 소독 완료 된 상품 입니다 

모든 기능 정상 입니다

추가 구성품 없이 단품 입니다

유심 넣으면 바로 사용 가능 합니다 

180000원에 판매 합니다

믿고 구매 하셔도 됩니다!!

중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 

입니다

부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 

택배비는 착불 또는 3000원 추가 입니다

편의점 택배를 이용하기 때문에 택배비는 저렴 합니다 "
[최저가] 삼성 갤럭시 노트9 SM-N960N.,190000,2022-07-08,"삼성 갤럭시 노트9 입니다

SK 향 입니다

3사 유심 호환 가능 합니다

찍힘 및 스크레치 약간 있고 화면 번인 아주 약간 있습니다 

살균, 소독 완료 된 상품 입니다 

모든 기능 정상 입니다

추가 구성품 없이 단품 입니다

유심 넣으면 바로 사용 가능 합니다 

190000원에 판매 합니다

믿고 구매 하셔도 됩니다!!

중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 

입니다

부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 

택배비는 착불 또는 3000원 추가 입니다

편의점 택배를 이용하기 때문에 택배비는 저렴 합니다 "
[최저가] 삼성 갤럭시 A30 SM-A305N,90000,2022-07-08,"삼성 갤럭시 A30 입니다

LG U+ 향 입니다

스크레치 약간 있고 화면 번인 약간 있습니다 

살균, 소독 완료 된 상품 입니다 

모든 기능 정상 입니다

추가 구성품 없이 단품 입니다

유심 넣으면 바로 사용 가능 합니다 

믿고 구매 하셔도 됩니다!!

중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 

입니다

부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 

택배비는 착불 또는 3000원 추가 입니다

편의점 택배를 이용하기 때문에 택배비는 저렴 합니다 "
[최저가] 삼성 갤럭시 J7 2017 SM-J730K,70000,2022-07-08,"삼성 갤럭시 J7 2017 입니다
​
KT 향 입니다 

3사 유심 호환 가능 합니다
​
기스, 찍힘 및 스크레치 있습니다 

화면 잔상 없이 깨끗 합니다 

살균, 소독 완료 된 상품 입니다 
​
모든 기능 정상 입니다
​
추가 구성품 없이 단품 입니다
​
유심 넣으면 바로 사용 가능 합니다 
​
70000원에 판매 합니다
​
믿고 구매 하셔도 됩니다!!

중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 입니다
​
부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 
​
택배비는 착불 또는 3000원 추가 입니다
​
편의점 택배를 이용 해서 택배비는 저렴 합니다"
갤럭시 노트9 128GB 팔아요,200000,2022-07-08,"갤럭시 노트9 128GB 화이트 팔아요
정상해지, 공장초기화 했습니다
외관 사진처럼 완전 깨끗합니다
화면에 정말 약한 잔상있어요(7,8번째 사진)
사진으로도 티 많이 안나서,
이용하는데에는 불편한점 없습니다
폰이나 펜 기능이상 전혀x
모든 통신사 사용 가능(lg유플러스 개통)
최초개통 : 19.01.28
미남역 사직역 부전역 직거래 가능해요
반값택배 가능해요!"
A23 블루128 개통22년3월 새폰급 판매해요,190000,2022-07-08,"# 색상 : 블루
# 용량 : 128기가 
# 3사호환, 정상해지, 25%요금할인까지!!

최초통신사는 LG입니다
무잔상이구요 삼성보증이 넉넉히 남아있어요 
외관도 거의 새폰처럼 엄청 깨끗합니다 

추가구성품
액정보호필름, 젤리케이스

* 고객님들간에 개인거래 하셨을 때(분실,도난,침수,메인보드,잔상,케이블등등) 
  모르고 사셨던 분들도 계실겁니다. 
  저희는 중고폰 전문매장으로써 오늘 하루만 장사를 하는 것이 아니기에
  신뢰를 바탕으로 대량으로 매입을 하기에 저렴한 가격에 판매를 하고 있습니다.
  
택배거래시 평일오후5시이전 주문시
우체국또는 로젠택배로 당일발송 익일 받으실수 있습니다
  
*A/S 본인과실 외 30일 무상으로 수리
  
* 매장 방문시 더 많은제품을 직접 보시고 구매 하실 수 있습니다.

         휴대폰 $ 010-2223-2534 $"
갤럭시S10플러스 512G 무잔상S급 블랙 인천s10+,275000,2022-07-08,"• 갤럭시S10플러스 512g 블랙 7201 판매합니다( 4g lte 선불유심 알뜰유심 전부 그대로 사용 가능합니다)

• 제 모든 휴대폰 사진은 실사입니다 

• 외관보시면 상태는 전체적으로 깔끔합니다 테두리 사진보시면 아래테두리 작은찍힘과 충전하는쪽 생활기스 살짝 빼고 전체적으로 깔끔합니다 액정은 깨짐없고 생활기스들 있으나 필름 깔끔하게 붙혀드리겠습니다^^ 뒷판은 깨짐없고 깔끔합니다 흰화면 보시면 잔상없고 깔끔합니다 참고하세요 —>중고폰 특성상 미세한 생활기스 있을수 있습니다 (사진에서 꼭 확인해주세요^^) 

• 배터리 양호합니다 

• 정상해지 공기계이고 3사 전부 유심만 꽂으면 사용가능하며 25% 약정할인 가능합니다 

• 최초통신사는 skt이고 최초개통일은 2019년 4월입니다

• 터치,소리,지문,카메라 등 모든 기능 검사 “이상무”입니다

• 구성품은 기기+필름+케이스 새것 입니다

• 중고폰은 단순변심에 의한 환불 및 교환이 불가하므로 신중한 거래 부탁드립니다

• 허위매물을 올리지 않습니다 한대한대 일일이 찍어서 올리고 있습니다 보시는 제품 그대로 배송됩니다

• 문의가 많은 관계로 애눌, 흥정, 교신, 교환 정중히 사양합니다 답변하지않겠습니다


안산직거래
전지역택배가능(오후 5시 이전 주문건 당일출고됩니다 , 우체국택배는 따로 문의 해주세요^^)
OlO . 5o34 . 24l3"
